MBIID	rating_mean_cat1	rating_mean_cat2	rating_mean_cat3	rating_mean_cat4	rating_mean_cat5	rating_mean_cat6	rating_mean_cat7	rating_mean_cat8	rating_mean_cat9
B033100	0.222	0.111	1	-0.556	1.667	-2.778	-2.111	0.444	-2.222
B033245	3	0.667	2.333	0.778	2.222	-2.556	-2.444	1.556	-2
B033285	2.333	1.111	1.667	0.333	2.667	-3	-2.778	0.556	-2.778
B033459	1.556	0.333	2.333	-1.333	2.222	-2.667	-1.889	-0.556	-2.111
B033764	1.667	0.889	2.667	-0.222	2.444	-2.889	-1.778	-0.333	-2.556
B033832	1.444	-0.444	2	-0.111	1.667	-2.778	-1.667	1.667	-3
B033838	1.333	0.889	3	-0.778	2.778	-2.667	-0.667	0.667	-2
B033854	2.889	0.667	2.111	-0.333	2	-1.222	-1.889	-0.556	-0.667
B033954	0	0.111	0.556	-0.111	0.778	-1.556	-1	0.667	-1.444
B034202	1.111	-2	2.556	0.111	1.778	-3	-3	1.667	-3
B034717	0.889	0	1.889	-0.222	2.111	-2.556	-1.444	-0.889	-3
B035380	0.778	0.444	1.333	-0.111	0.889	-3	-2.778	1.556	-2.333
B035527	1.222	0.444	2.778	0	2.556	-3	-2.778	0.333	-2.667
B035569	1.444	0.667	2.556	0.333	2.667	-2.333	-0.667	-0.889	-1.111
B035863	2.667	1.222	2.778	0.444	2.778	-3	-2.111	1.667	-2.556
B035970	1	0.444	1.556	-0.333	2	-2.333	-3	1.333	-2.889
B036246	-0.444	-0.556	1.111	-1.111	1.444	-3	-2.333	-0.778	-2.778
B036339	0.667	0.444	2.111	-0.778	1.667	-3	-2.667	1	-2.444
B036347	2.333	1	3	2.667	3	-2.667	-3	-0.333	-3
B036425	0.667	0.778	1.444	0.333	1.111	0.444	0.556	0.333	0.333
B036451	2.556	0.333	2.778	0	1.778	-3	-2.444	-0.556	-1.889
B036606	0.444	0.333	0.889	0	1.889	-2	-1.222	1.333	-1.333
B036613	1	0	2	-0.667	1.667	-3	-2.667	2.333	-3
B036638	-1.111	0.111	1.111	-1	1.444	-2.222	-1.333	0.111	-2.556
B036684	1.444	0.556	2.333	0.556	1.667	-2.444	-1.556	0.556	-1.111
